Status_checking,Duration,Credit_history,Purpose,Credit_amount,Savings,Employment,Installment_rate,Personal_status,Other_debtors,Residence_since,Property,Age,Other_installment_plans,Housing,Number_existing_credits,Job,Number_people_liable,Telephone,Foreign_worker
No checking account,12,Existing credits paid back duly till now,Radio / television,776,< 100 DM,1 <= employment < 4 years,4,Male: married/widowed,,2,Real estate,28,,Own,1,Skilled,1,,Yes
No checking account,12,Existing credits paid back duly till now,Car (used),2445,Unknown / no savings,< 1 year,2,Male: married/widowed,,4,Car or other (not savings),26,,Rent,1,Skilled,1,"Yes, registered",Yes
No checking account,18,Critical account / other credits existing,Radio / television,2404,< 100 DM,1 <= employment < 4 years,2,Female: divorced/separated/married,,2,Car or other (not savings),26,,Own,2,Skilled,1,,Yes
< 0 DM,48,No credits taken / all credits paid back duly,Car (used),4605,< 100 DM,>= 7 years,3,Male: single,,4,Unknown / no property,24,,For free,2,Skilled,2,,Yes
No checking account,24,Critical account / other credits existing,Radio / television,2424,Unknown / no savings,>= 7 years,4,Male: single,,4,Building society savings / life insurance,53,,Own,2,Skilled,1,,Yes
0 <= balance < 200 DM,15,No credits taken / all credits paid back duly,Car (new),1778,< 100 DM,< 1 year,2,Female: divorced/separated/married,,1,Real estate,26,,Rent,2,Unemployed / unskilled resident,1,,Yes
< 0 DM,18,Existing credits paid back duly till now,Furniture / equipment,3650,< 100 DM,< 1 year,1,Female: divorced/separated/married,,4,Car or other (not savings),22,,Rent,1,Skilled,1,,Yes
No checking account,18,No credits taken / all credits paid back duly,Business,4165,< 100 DM,1 <= employment < 4 years,2,Male: single,,2,Car or other (not savings),36,Stores,Own,2,Skilled,2,,Yes
No checking account,12,Existing credits paid back duly till now,Car (new),2133,Unknown / no savings,>= 7 years,4,Female: divorced/separated/married,,4,Unknown / no property,52,,For free,1,Highly skilled,1,"Yes, registered",Yes
< 0 DM,12,Existing credits paid back duly till now,Furniture / equipment,2577,< 100 DM,1 <= employment < 4 years,2,Male: divorced/separated,,1,Car or other (not savings),42,,Own,1,Skilled,1,,Yes
0 <= balance < 200 DM,60,Existing credits paid back duly till now,Car (new),14027,< 100 DM,4 <= employment < 7 years,4,Male: single,,2,Unknown / no property,27,,Own,1,Highly skilled,1,"Yes, registered",Yes
< 0 DM,45,No credits taken / all credits paid back duly,Business,11816,< 100 DM,>= 7 years,2,Male: single,,4,Car or other (not savings),29,,Rent,2,Skilled,1,,Yes
No checking account,24,Critical account / other credits existing,Radio / television,2872,100 <= savings < 500 DM,>= 7 years,3,Male: single,,4,Real estate,36,,Own,1,Skilled,2,"Yes, registered",Yes
No checking account,18,Critical account / other credits existing,Car (new),1530,< 100 DM,1 <= employment < 4 years,3,Male: single,,2,Building society savings / life insurance,32,Bank,Own,2,Skilled,1,,Yes
< 0 DM,6,Existing credits paid back duly till now,Car (new),14896,< 100 DM,>= 7 years,1,Male: single,,4,Unknown / no property,68,Bank,Own,1,Highly skilled,1,"Yes, registered",Yes
< 0 DM,30,Existing credits paid back duly till now,Furniture / equipment,3622,>= 1000 DM,>= 7 years,4,Female: divorced/separated/married,,4,Building society savings / life insurance,57,,Rent,2,Skilled,1,"Yes, registered",Yes
< 0 DM,24,Existing credits paid back duly till now,Car (new),1207,< 100 DM,< 1 year,4,Female: divorced/separated/married,,4,Building society savings / life insurance,24,,Rent,1,Skilled,1,,Yes
No checking account,6,All credits at this bank paid back duly,Radio / television,1750,500 <= savings < 1000 DM,>= 7 years,2,Male: single,,4,Building society savings / life insurance,45,Bank,Own,1,Unskilled non-resident,2,,Yes
No checking account,24,Critical account / other credits existing,Car (new),1287,>= 1000 DM,>= 7 years,4,Female: divorced/separated/married,,4,Real estate,37,,Own,2,Skilled,1,"Yes, registered",Yes
< 0 DM,24,Critical account / other credits existing,Car (used),6615,< 100 DM,Unemployed,2,Male: single,,4,Unknown / no property,75,,For free,2,Highly skilled,1,"Yes, registered",Yes
>= 200 DM / salary assigned >= 1 year,15,Critical account / other credits existing,Radio / television,1271,Unknown / no savings,1 <= employment < 4 years,3,Male: single,,4,Unknown / no property,39,,For free,2,Skilled,1,"Yes, registered",Yes
No checking account,12,Critical account / other credits existing,Radio / television,930,Unknown / no savings,>= 7 years,4,Male: single,,4,Real estate,65,,Own,4,Skilled,1,,Yes
No checking account,24,Critical account / other credits existing,Radio / television,1851,< 100 DM,4 <= employment < 7 years,4,Male: married/widowed,Guarantor,2,Car or other (not savings),33,,Own,2,Skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,24,Existing credits paid back duly till now,Radio / television,2896,100 <= savings < 500 DM,< 1 year,2,Male: single,,1,Car or other (not savings),29,,Own,1,Skilled,1,,Yes
0 <= balance < 200 DM,36,Existing credits paid back duly till now,Car (used),9398,< 100 DM,< 1 year,1,Male: married/widowed,,4,Car or other (not savings),28,,Rent,1,Highly skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,6,Existing credits paid back duly till now,Radio / television,2063,< 100 DM,< 1 year,4,Male: married/widowed,,3,Car or other (not savings),30,,Rent,1,Highly skilled,1,"Yes, registered",Yes
< 0 DM,36,Existing credits paid back duly till now,Furniture / equipment,5179,< 100 DM,4 <= employment < 7 years,4,Male: single,,2,Building society savings / life insurance,29,,Own,1,Skilled,1,,Yes
>= 200 DM / salary assigned >= 1 year,9,Existing credits paid back duly till now,Radio / television,1126,100 <= savings < 500 DM,>= 7 years,2,Male: divorced/separated,,4,Real estate,49,,Own,1,Skilled,1,,Yes
>= 200 DM / salary assigned >= 1 year,6,Critical account / other credits existing,Car (new),1323,100 <= savings < 500 DM,>= 7 years,2,Male: divorced/separated,,4,Car or other (not savings),28,,Own,2,Skilled,2,"Yes, registered",Yes
< 0 DM,60,Delay in paying off in the past,Business,6836,< 100 DM,>= 7 years,3,Male: single,,4,Unknown / no property,63,,Own,2,Skilled,1,"Yes, registered",Yes
< 0 DM,39,Critical account / other credits existing,Furniture / equipment,14179,Unknown / no savings,4 <= employment < 7 years,4,Male: single,,4,Building society savings / life insurance,30,,Own,2,Highly skilled,1,"Yes, registered",Yes
No checking account,24,Existing credits paid back duly till now,Radio / television,3621,100 <= savings < 500 DM,>= 7 years,2,Male: single,,4,Car or other (not savings),31,,Own,2,Skilled,1,,Yes
>= 200 DM / salary assigned >= 1 year,12,Existing credits paid back duly till now,Radio / television,3016,< 100 DM,1 <= employment < 4 years,3,Male: married/widowed,,1,Car or other (not savings),24,,Own,1,Skilled,1,,Yes
0 <= balance < 200 DM,15,Existing credits paid back duly till now,Repairs,1514,100 <= savings < 500 DM,1 <= employment < 4 years,4,Male: single,Guarantor,2,Real estate,22,,Own,1,Skilled,1,,Yes
< 0 DM,18,Critical account / other credits existing,Repairs,1190,< 100 DM,Unemployed,2,Female: divorced/separated/married,,4,Unknown / no property,55,,For free,3,Unemployed / unskilled resident,2,,Yes
0 <= balance < 200 DM,18,Existing credits paid back duly till now,Furniture / equipment,3001,< 100 DM,4 <= employment < 7 years,2,Female: divorced/separated/married,,4,Real estate,40,,Rent,1,Skilled,1,,Yes
< 0 DM,12,Critical account / other credits existing,Radio / television,385,< 100 DM,4 <= employment < 7 years,4,Female: divorced/separated/married,,3,Real estate,58,,Own,4,Unskilled non-resident,1,"Yes, registered",Yes
0 <= balance < 200 DM,24,Existing credits paid back duly till now,Car (new),1246,< 100 DM,< 1 year,4,Male: single,,2,Real estate,23,Stores,Own,1,Unskilled non-resident,1,,Yes
< 0 DM,24,Existing credits paid back duly till now,Car (used),2964,Unknown / no savings,>= 7 years,4,Male: single,,4,Unknown / no property,49,Bank,For free,1,Skilled,2,"Yes, registered",Yes
No checking account,24,Existing credits paid back duly till now,Radio / television,3235,500 <= savings < 1000 DM,>= 7 years,3,Male: divorced/separated,,2,Car or other (not savings),26,,Own,1,Highly skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,12,Delay in paying off in the past,Radio / television,585,< 100 DM,1 <= employment < 4 years,4,Male: married/widowed,Co-applicant,4,Real estate,20,,Rent,2,Skilled,1,,Yes
>= 200 DM / salary assigned >= 1 year,18,Existing credits paid back duly till now,Furniture / equipment,3049,< 100 DM,< 1 year,1,Female: divorced/separated/married,,1,Building society savings / life insurance,45,Stores,Own,1,Unskilled non-resident,1,,Yes
No checking account,10,Existing credits paid back duly till now,Car (new),1418,100 <= savings < 500 DM,1 <= employment < 4 years,3,Male: single,,2,Real estate,35,,Rent,1,Unskilled non-resident,1,,No
0 <= balance < 200 DM,30,No credits taken / all credits paid back duly,Business,4221,< 100 DM,1 <= employment < 4 years,2,Female: divorced/separated/married,,1,Car or other (not savings),28,,Own,2,Skilled,1,,Yes
< 0 DM,12,Existing credits paid back duly till now,Radio / television,1498,< 100 DM,1 <= employment < 4 years,4,Female: divorced/separated/married,,1,Car or other (not savings),23,Bank,Own,1,Skilled,1,,Yes
0 <= balance < 200 DM,24,Delay in paying off in the past,Furniture / equipment,2064,< 100 DM,Unemployed,3,Female: divorced/separated/married,,2,Building society savings / life insurance,34,,Own,1,Highly skilled,1,"Yes, registered",Yes
< 0 DM,24,Existing credits paid back duly till now,Car (used),2924,< 100 DM,1 <= employment < 4 years,3,Male: single,Guarantor,4,Unknown / no property,63,Bank,Own,1,Skilled,2,"Yes, registered",Yes
< 0 DM,24,No credits taken / all credits paid back duly,Furniture / equipment,4110,< 100 DM,>= 7 years,3,Male: single,,4,Unknown / no property,23,Bank,Rent,2,Skilled,2,,Yes
< 0 DM,6,Critical account / other credits existing,Car (new),3676,< 100 DM,1 <= employment < 4 years,1,Male: single,,3,Real estate,37,,Rent,3,Skilled,2,,Yes
0 <= balance < 200 DM,48,All credits at this bank paid back duly,Car (new),12169,Unknown / no savings,Unemployed,4,Male: single,Co-applicant,4,Unknown / no property,36,,For free,1,Highly skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,18,Existing credits paid back duly till now,Radio / television,1113,< 100 DM,1 <= employment < 4 years,4,Female: divorced/separated/married,Guarantor,4,Real estate,26,,Own,1,Unskilled non-resident,2,,Yes
0 <= balance < 200 DM,6,Delay in paying off in the past,Car (new),1209,< 100 DM,Unemployed,4,Male: single,,4,Building society savings / life insurance,47,,Own,1,Highly skilled,1,"Yes, registered",Yes
No checking account,6,No credits taken / all credits paid back duly,Radio / television,426,< 100 DM,>= 7 years,4,Male: married/widowed,,4,Car or other (not savings),39,,Own,1,Unskilled non-resident,1,,Yes
< 0 DM,12,Critical account / other credits existing,Car (new),3499,< 100 DM,1 <= employment < 4 years,3,Female: divorced/separated/married,Co-applicant,2,Real estate,29,,Own,2,Skilled,1,,Yes
0 <= balance < 200 DM,24,All credits at this bank paid back duly,Education,1837,< 100 DM,4 <= employment < 7 years,4,Female: divorced/separated/married,,4,Unknown / no property,34,Bank,For free,1,Unskilled non-resident,1,,Yes
>= 200 DM / salary assigned >= 1 year,42,Critical account / other credits existing,Car (used),4796,< 100 DM,>= 7 years,4,Male: single,,4,Unknown / no property,56,,For free,1,Skilled,1,,Yes
0 <= balance < 200 DM,18,Critical account / other credits existing,Furniture / equipment,1295,< 100 DM,< 1 year,4,Female: divorced/separated/married,,1,Building society savings / life insurance,27,,Own,2,Skilled,1,,Yes
No checking account,10,Existing credits paid back duly till now,Car (new),1309,Unknown / no savings,1 <= employment < 4 years,4,Male: single,Guarantor,4,Building society savings / life insurance,27,,Own,1,Unskilled non-resident,1,,Yes
No checking account,24,Existing credits paid back duly till now,Car (used),9277,Unknown / no savings,1 <= employment < 4 years,2,Male: divorced/separated,,4,Unknown / no property,48,,For free,1,Skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,12,Existing credits paid back duly till now,Radio / television,766,500 <= savings < 1000 DM,1 <= employment < 4 years,4,Male: single,,3,Real estate,66,,Own,1,Unskilled non-resident,1,,Yes
< 0 DM,12,Critical account / other credits existing,Car (new),4843,< 100 DM,>= 7 years,3,Male: single,Co-applicant,4,Building society savings / life insurance,43,,Rent,2,Skilled,1,"Yes, registered",Yes
No checking account,9,Existing credits paid back duly till now,Radio / television,2753,100 <= savings < 500 DM,>= 7 years,3,Male: single,Co-applicant,4,Car or other (not savings),35,,Own,1,Skilled,1,"Yes, registered",Yes
< 0 DM,12,Critical account / other credits existing,Car (new),2122,< 100 DM,1 <= employment < 4 years,3,Male: single,,2,Real estate,39,,Rent,2,Unskilled non-resident,2,,No
No checking account,10,Existing credits paid back duly till now,Radio / television,1924,< 100 DM,1 <= employment < 4 years,1,Male: single,,4,Building society savings / life insurance,38,,Own,1,Skilled,1,"Yes, registered",No
< 0 DM,15,Existing credits paid back duly till now,Car (new),1403,< 100 DM,1 <= employment < 4 years,2,Female: divorced/separated/married,,4,Car or other (not savings),28,,Rent,1,Skilled,1,,Yes
< 0 DM,36,Critical account / other credits existing,Education,8065,< 100 DM,1 <= employment < 4 years,3,Female: divorced/separated/married,,2,Unknown / no property,25,,Own,2,Highly skilled,1,"Yes, registered",Yes
No checking account,14,Delay in paying off in the past,Car (new),802,< 100 DM,1 <= employment < 4 years,4,Male: single,,2,Car or other (not savings),27,,Own,2,Unskilled non-resident,1,,Yes
< 0 DM,30,Critical account / other credits existing,Car (used),6187,100 <= savings < 500 DM,4 <= employment < 7 years,1,Male: married/widowed,,4,Car or other (not savings),24,,Rent,2,Skilled,1,,Yes
No checking account,9,Existing credits paid back duly till now,Education,3832,Unknown / no savings,>= 7 years,1,Male: single,,4,Real estate,64,,Own,1,Unskilled non-resident,1,,Yes
No checking account,36,Critical account / other credits existing,Radio / television,9566,< 100 DM,1 <= employment < 4 years,2,Female: divorced/separated/married,,2,Car or other (not savings),31,Stores,Own,2,Skilled,1,,Yes
0 <= balance < 200 DM,12,Critical account / other credits existing,Car (new),2366,500 <= savings < 1000 DM,4 <= employment < 7 years,3,Male: divorced/separated,,3,Car or other (not savings),36,,Own,1,Highly skilled,1,"Yes, registered",Yes
No checking account,18,Critical account / other credits existing,Car (new),2775,< 100 DM,4 <= employment < 7 years,2,Male: single,,2,Building society savings / life insurance,31,Bank,Own,2,Skilled,1,,Yes
0 <= balance < 200 DM,36,Delay in paying off in the past,Business,9857,100 <= savings < 500 DM,4 <= employment < 7 years,1,Male: single,,3,Building society savings / life insurance,31,,Own,2,Unskilled non-resident,2,"Yes, registered",Yes
< 0 DM,12,Existing credits paid back duly till now,Radio / television,727,100 <= savings < 500 DM,< 1 year,4,Male: married/widowed,,3,Unknown / no property,33,,Own,1,Unskilled non-resident,1,"Yes, registered",Yes
No checking account,6,Critical account / other credits existing,Radio / television,1382,< 100 DM,1 <= employment < 4 years,1,Female: divorced/separated/married,,1,Car or other (not savings),28,,Own,2,Skilled,1,"Yes, registered",Yes
No checking account,48,Critical account / other credits existing,Radio / television,3578,Unknown / no savings,>= 7 years,4,Male: single,,1,Real estate,47,,Own,1,Skilled,1,"Yes, registered",Yes
No checking account,24,Critical account / other credits existing,Furniture / equipment,2028,< 100 DM,4 <= employment < 7 years,2,Male: single,,2,Building society savings / life insurance,30,,Own,2,Unskilled non-resident,1,,Yes
0 <= balance < 200 DM,18,No credits taken / all credits paid back duly,Car (new),2278,100 <= savings < 500 DM,< 1 year,3,Female: divorced/separated/married,,3,Car or other (not savings),28,,Own,2,Skilled,1,,Yes
>= 200 DM / salary assigned >= 1 year,6,Delay in paying off in the past,Radio / television,683,< 100 DM,< 1 year,2,Female: divorced/separated/married,,1,Building society savings / life insurance,29,Bank,Own,1,Skilled,1,,Yes
0 <= balance < 200 DM,10,Existing credits paid back duly till now,Furniture / equipment,1521,< 100 DM,1 <= employment < 4 years,4,Male: divorced/separated,,2,Car or other (not savings),31,,Own,1,Unskilled non-resident,1,,Yes
< 0 DM,6,Critical account / other credits existing,Furniture / equipment,1872,< 100 DM,Unemployed,4,Male: single,,4,Unknown / no property,36,,For free,3,Highly skilled,1,"Yes, registered",Yes
No checking account,24,Existing credits paid back duly till now,Radio / television,3430,500 <= savings < 1000 DM,>= 7 years,3,Male: single,,2,Car or other (not savings),31,,Own,1,Skilled,2,"Yes, registered",Yes
< 0 DM,12,Existing credits paid back duly till now,Car (new),2579,< 100 DM,< 1 year,4,Male: single,,1,Real estate,33,,Own,1,Unskilled non-resident,2,,Yes
0 <= balance < 200 DM,15,Delay in paying off in the past,Repairs,1512,>= 1000 DM,1 <= employment < 4 years,3,Male: married/widowed,,3,Building society savings / life insurance,61,Stores,Own,2,Skilled,1,,Yes
0 <= balance < 200 DM,20,Existing credits paid back duly till now,Car (used),6468,Unknown / no savings,Unemployed,1,Male: divorced/separated,,4,Real estate,60,,Own,1,Highly skilled,1,"Yes, registered",Yes
>= 200 DM / salary assigned >= 1 year,30,Critical account / other credits existing,Radio / television,3656,Unknown / no savings,>= 7 years,4,Male: single,,4,Building society savings / life insurance,49,Stores,Own,2,Unskilled non-resident,1,,Yes
0 <= balance < 200 DM,21,Existing credits paid back duly till now,Business,2767,100 <= savings < 500 DM,>= 7 years,4,Male: divorced/separated,,2,Car or other (not savings),61,Bank,Rent,2,Unskilled non-resident,1,,Yes
0 <= balance < 200 DM,24,Critical account / other credits existing,Others,11938,< 100 DM,1 <= employment < 4 years,2,Male: single,Co-applicant,3,Car or other (not savings),39,,Own,2,Highly skilled,2,"Yes, registered",Yes
0 <= balance < 200 DM,10,All credits at this bank paid back duly,Radio / television,1048,< 100 DM,1 <= employment < 4 years,4,Male: single,,4,Real estate,23,Stores,Own,1,Unskilled non-resident,1,,Yes
No checking account,12,Critical account / other credits existing,Radio / television,1655,< 100 DM,>= 7 years,2,Male: single,,4,Real estate,63,,Own,2,Unskilled non-resident,1,"Yes, registered",Yes
No checking account,24,Delay in paying off in the past,Car (used),4679,< 100 DM,4 <= employment < 7 years,3,Male: single,,3,Car or other (not savings),35,,Own,2,Unskilled non-resident,1,"Yes, registered",Yes
No checking account,15,Existing credits paid back duly till now,Radio / television,1386,Unknown / no savings,1 <= employment < 4 years,4,Male: married/widowed,,2,Real estate,40,,Rent,1,Skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,18,Critical account / other credits existing,Radio / television,1795,< 100 DM,>= 7 years,3,Female: divorced/separated/married,Guarantor,4,Real estate,48,Bank,Rent,2,Unskilled non-resident,1,"Yes, registered",Yes
< 0 DM,18,Existing credits paid back duly till now,Education,750,< 100 DM,Unemployed,4,Female: divorced/separated/married,,1,Real estate,27,,Own,1,Unemployed / unskilled resident,1,,Yes
No checking account,18,Existing credits paid back duly till now,Business,1950,< 100 DM,4 <= employment < 7 years,4,Male: single,,1,Car or other (not savings),34,Stores,Own,2,Skilled,1,"Yes, registered",Yes
No checking account,4,Critical account / other credits existing,Radio / television,1544,< 100 DM,4 <= employment < 7 years,2,Male: single,,1,Real estate,42,,Own,3,Unskilled non-resident,2,,Yes
< 0 DM,6,Existing credits paid back duly till now,Education,448,< 100 DM,< 1 year,4,Female: divorced/separated/married,,4,Building society savings / life insurance,23,,Own,1,Skilled,1,,Yes
No checking account,48,Existing credits paid back duly till now,Business,3914,Unknown / no savings,1 <= employment < 4 years,4,Male: divorced/separated,,2,Real estate,38,Bank,Own,1,Skilled,1,,Yes
< 0 DM,12,Critical account / other credits existing,Car (new),691,< 100 DM,>= 7 years,4,Male: single,,3,Building society savings / life insurance,35,,Own,2,Skilled,1,,Yes
0 <= balance < 200 DM,36,Delay in paying off in the past,Car (new),2225,< 100 DM,>= 7 years,4,Male: single,,4,Unknown / no property,57,Bank,For free,2,Skilled,1,"Yes, registered",Yes
< 0 DM,18,Existing credits paid back duly till now,Car (new),4380,100 <= savings < 500 DM,1 <= employment < 4 years,3,Male: single,,4,Car or other (not savings),35,,Own,1,Unskilled non-resident,2,"Yes, registered",Yes
No checking account,24,Existing credits paid back duly till now,Radio / television,1278,< 100 DM,>= 7 years,4,Male: single,,1,Real estate,36,,Own,1,Highly skilled,1,"Yes, registered",Yes
< 0 DM,30,Existing credits paid back duly till now,Furniture / equipment,6350,Unknown / no savings,>= 7 years,4,Male: single,,4,Building society savings / life insurance,31,,Own,1,Skilled,1,,Yes
0 <= balance < 200 DM,18,Existing credits paid back duly till now,Radio / television,1301,< 100 DM,>= 7 years,4,Male: married/widowed,Guarantor,2,Real estate,32,,Own,1,Unskilled non-resident,1,,Yes
< 0 DM,6,Critical account / other credits existing,Car (new),4716,Unknown / no savings,< 1 year,1,Male: single,,3,Real estate,44,,Own,2,Unskilled non-resident,2,,Yes
No checking account,24,Delay in paying off in the past,Business,2375,500 <= savings < 1000 DM,1 <= employment < 4 years,4,Male: single,,2,Car or other (not savings),44,,Own,2,Skilled,2,"Yes, registered",Yes
No checking account,18,Delay in paying off in the past,Furniture / equipment,1808,< 100 DM,4 <= employment < 7 years,4,Female: divorced/separated/married,,1,Real estate,22,,Own,1,Skilled,1,,Yes
0 <= balance < 200 DM,12,Existing credits paid back duly till now,Radio / television,1092,< 100 DM,1 <= employment < 4 years,4,Female: divorced/separated/married,Guarantor,4,Real estate,49,,Own,2,Skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,27,Critical account / other credits existing,Radio / television,2520,500 <= savings < 1000 DM,1 <= employment < 4 years,4,Male: single,,2,Building society savings / life insurance,23,,Own,2,Unskilled non-resident,1,,Yes
0 <= balance < 200 DM,18,Existing credits paid back duly till now,Education,1239,Unknown / no savings,1 <= employment < 4 years,4,Male: single,,4,Unknown / no property,61,,For free,1,Skilled,1,,Yes
No checking account,24,Critical account / other credits existing,Furniture / equipment,1585,< 100 DM,4 <= employment < 7 years,4,Male: single,,3,Building society savings / life insurance,40,,Own,2,Skilled,1,,Yes
>= 200 DM / salary assigned >= 1 year,36,Existing credits paid back duly till now,Radio / television,4210,< 100 DM,1 <= employment < 4 years,4,Male: single,,2,Car or other (not savings),26,,Own,1,Skilled,1,,Yes
0 <= balance < 200 DM,48,All credits at this bank paid back duly,Business,6416,< 100 DM,>= 7 years,4,Female: divorced/separated/married,,3,Unknown / no property,59,,Rent,1,Skilled,1,,Yes
No checking account,24,Critical account / other credits existing,Repairs,2058,< 100 DM,1 <= employment < 4 years,4,Male: divorced/separated,,2,Real estate,33,,Own,2,Skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,12,Critical account / other credits existing,Car (new),1995,100 <= savings < 500 DM,< 1 year,4,Male: single,,1,Car or other (not savings),27,,Own,1,Skilled,1,,Yes
No checking account,48,Critical account / other credits existing,Car (new),10127,500 <= savings < 1000 DM,1 <= employment < 4 years,2,Male: single,,2,Unknown / no property,44,Bank,For free,1,Skilled,1,,Yes
0 <= balance < 200 DM,48,Existing credits paid back duly till now,Car (new),6560,100 <= savings < 500 DM,4 <= employment < 7 years,3,Male: single,,2,Building society savings / life insurance,24,,Own,1,Skilled,1,,Yes
< 0 DM,24,All credits at this bank paid back duly,Furniture / equipment,2828,500 <= savings < 1000 DM,1 <= employment < 4 years,4,Male: single,,4,Real estate,22,Stores,Own,1,Skilled,1,"Yes, registered",Yes
No checking account,60,Existing credits paid back duly till now,Car (new),10366,< 100 DM,>= 7 years,2,Male: single,,4,Building society savings / life insurance,42,,Own,1,Highly skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,48,All credits at this bank paid back duly,Business,3566,100 <= savings < 500 DM,4 <= employment < 7 years,4,Male: single,,2,Car or other (not savings),30,,Own,1,Skilled,1,,Yes
0 <= balance < 200 DM,48,Delay in paying off in the past,Others,7582,100 <= savings < 500 DM,Unemployed,2,Male: single,,4,Unknown / no property,31,,For free,1,Highly skilled,1,"Yes, registered",Yes
>= 200 DM / salary assigned >= 1 year,12,Existing credits paid back duly till now,Furniture / equipment,2251,< 100 DM,1 <= employment < 4 years,1,Female: divorced/separated/married,,2,Car or other (not savings),46,,Own,1,Unskilled non-resident,1,,Yes
No checking account,48,Critical account / other credits existing,Car (used),8858,Unknown / no savings,4 <= employment < 7 years,2,Male: single,,1,Unknown / no property,35,,For free,2,Skilled,1,"Yes, registered",Yes
No checking account,36,Existing credits paid back duly till now,Education,1819,< 100 DM,1 <= employment < 4 years,4,Male: single,,4,Unknown / no property,37,Stores,For free,1,Skilled,1,"Yes, registered",Yes
< 0 DM,12,Existing credits paid back duly till now,Radio / television,1680,500 <= savings < 1000 DM,>= 7 years,3,Male: married/widowed,,1,Real estate,35,,Own,1,Skilled,1,,Yes
No checking account,9,Critical account / other credits existing,Radio / television,3074,Unknown / no savings,1 <= employment < 4 years,1,Male: single,,2,Real estate,33,,Own,2,Skilled,2,,Yes
No checking account,6,Critical account / other credits existing,Radio / television,1554,< 100 DM,4 <= employment < 7 years,1,Female: divorced/separated/married,,2,Car or other (not savings),24,,Rent,2,Skilled,1,"Yes, registered",Yes
No checking account,12,Existing credits paid back duly till now,Radio / television,886,Unknown / no savings,1 <= employment < 4 years,4,Female: divorced/separated/married,,2,Car or other (not savings),21,,Own,1,Skilled,1,,Yes
0 <= balance < 200 DM,18,Existing credits paid back duly till now,Car (used),2779,< 100 DM,1 <= employment < 4 years,1,Male: married/widowed,,3,Car or other (not savings),21,,Rent,1,Skilled,1,"Yes, registered",Yes
No checking account,12,Critical account / other credits existing,Education,3565,Unknown / no savings,< 1 year,2,Male: single,,1,Building society savings / life insurance,37,,Own,2,Unskilled non-resident,2,,Yes
0 <= balance < 200 DM,30,Delay in paying off in the past,Radio / television,1919,100 <= savings < 500 DM,< 1 year,4,Male: single,,3,Unknown / no property,30,Stores,Own,2,Highly skilled,1,,Yes
< 0 DM,12,Existing credits paid back duly till now,Furniture / equipment,7865,< 100 DM,>= 7 years,4,Male: single,,4,Unknown / no property,53,,For free,1,Highly skilled,1,"Yes, registered",Yes
No checking account,48,Critical account / other credits existing,Business,7629,Unknown / no savings,>= 7 years,4,Male: divorced/separated,,2,Car or other (not savings),46,Bank,Own,2,Highly skilled,2,,Yes
< 0 DM,24,Existing credits paid back duly till now,Car (new),2303,< 100 DM,>= 7 years,4,Male: single,Co-applicant,1,Real estate,45,,Own,1,Skilled,1,,Yes
< 0 DM,24,Delay in paying off in the past,Radio / television,1024,< 100 DM,< 1 year,4,Male: married/widowed,,4,Real estate,48,Stores,Own,1,Skilled,1,,Yes
No checking account,12,Existing credits paid back duly till now,Radio / television,2171,< 100 DM,< 1 year,2,Female: divorced/separated/married,,2,Car or other (not savings),29,Bank,Own,1,Skilled,1,,Yes
< 0 DM,12,Critical account / other credits existing,Furniture / equipment,2246,< 100 DM,>= 7 years,3,Male: single,,3,Building society savings / life insurance,60,,Own,2,Skilled,1,,Yes
No checking account,18,Critical account / other credits existing,Radio / television,2238,< 100 DM,1 <= employment < 4 years,2,Female: divorced/separated/married,,1,Car or other (not savings),25,,Own,2,Skilled,1,,Yes
No checking account,27,Delay in paying off in the past,Car (used),8613,>= 1000 DM,1 <= employment < 4 years,2,Male: single,,2,Car or other (not savings),27,,Own,2,Skilled,1,,Yes
< 0 DM,18,Existing credits paid back duly till now,Furniture / equipment,2473,< 100 DM,Unemployed,4,Male: single,,1,Car or other (not savings),25,,Own,1,Unemployed / unskilled resident,1,,Yes
>= 200 DM / salary assigned >= 1 year,10,Critical account / other credits existing,Radio / television,1347,Unknown / no savings,4 <= employment < 7 years,4,Male: single,,2,Building society savings / life insurance,27,,Own,2,Skilled,1,"Yes, registered",Yes
>= 200 DM / salary assigned >= 1 year,6,Critical account / other credits existing,Car (new),1299,< 100 DM,1 <= employment < 4 years,1,Male: single,,1,Real estate,74,,Own,3,Unemployed / unskilled resident,2,,No
0 <= balance < 200 DM,36,Existing credits paid back duly till now,Radio / television,2323,< 100 DM,4 <= employment < 7 years,4,Male: single,,4,Car or other (not savings),24,,Rent,1,Skilled,1,,Yes
0 <= balance < 200 DM,6,Delay in paying off in the past,Business,1449,100 <= savings < 500 DM,>= 7 years,1,Male: divorced/separated,,2,Car or other (not savings),31,Bank,Own,2,Skilled,2,,Yes
